Age (in months)	3rd Percentile BMI Value	5th Percentile BMI Value	10th Percentile BMI Value	25th Percentile BMI Value	50th Percentile BMI Value	75th Percentile BMI Value	85th Percentile BMI Value	90th Percentile BMI Value	95th Percentile BMI Value	97th Percentile BMI Value
133.5	14.11633	14.43656	14.9759	16.0322	17.52112	19.52924	20.94349	22.0994	24.23641	26.01525
134.5	14.1486	14.47063	15.01305	16.07549	17.57333	19.59386	21.01703	22.18031	24.33108	26.12139
135.5	14.18132	14.50512	15.05056	16.11907	17.6257	19.65846	21.09045	22.26101	24.42539	26.22709
136.5	14.21447	14.54002	15.08844	16.1629	17.6782	19.72302	21.16371	22.34148	24.51933	26.33233
137.5	14.24805	14.57531	15.12666	16.207	17.73082	19.78754	21.23681	22.4217	24.61288	26.43709
138.5	14.28204	14.61099	15.16522	16.25134	17.78356	19.85199	21.30974	22.50166	24.70603	26.54136
139.5	14.31643	14.64705	15.20411	16.2959	17.83638	19.91636	21.38246	22.58133	24.79876	26.64513
140.5	14.35122	14.68347	15.24332	16.34069	17.88929	19.98063	21.45498	22.66071	24.89106	26.74838
141.5	14.3864	14.72025	15.28283	16.38568	17.94227	20.0448	21.52727	22.73977	24.98291	26.8511
142.5	14.42195	14.75737	15.32264	16.43087	17.99531	20.10884	21.59931	22.8185	25.0743	26.95328
143.5	14.45788	14.79484	15.36274	16.47625	18.04838	20.17274	21.67111	22.89689	25.16522	27.0549
144.5	14.49415	14.83262	15.40311	16.52179	18.10149	20.23648	21.74263	22.97493	25.25564	27.15596
145.5	14.53078	14.87073	15.44374	16.5675	18.15461	20.30006	21.81386	23.05259	25.34557	27.25645
146.5	14.56773	14.90914	15.48462	16.61335	18.20774	20.36346	21.8848	23.12987	25.43498	27.35636
147.5	14.60502	14.94784	15.52574	16.65934	18.26085	20.42667	21.95543	23.20675	25.52387	27.45567
148.5	14.64262	14.98682	15.5671	16.70546	18.31395	20.48967	22.02573	23.28323	25.61223	27.55439
149.5	14.68052	15.02607	15.60867	16.75168	18.36701	20.55245	22.0957	23.35928	25.70005	27.6525
150.5	14.71871	15.06559	15.65044	16.79801	18.42002	20.61499	22.16532	23.43491	25.78731	27.75
151.5	14.75718	15.10535	15.69241	16.84442	18.47298	20.67729	22.23458	23.51008	25.87401	27.84688
152.5	14.79592	15.14535	15.73456	16.89091	18.52586	20.73934	22.30346	23.58481	25.96013	27.94314
153.5	14.83492	15.18558	15.77689	16.93746	18.57866	20.80112	22.37196	23.65907	26.04568	28.03877
154.5	14.87417	15.22602	15.81937	16.98407	18.63136	20.86261	22.44007	23.73285	26.13065	28.13377
155.5	14.91365	15.26666	15.86199	17.03071	18.68396	20.92382	22.50777	23.80615	26.21502	28.22813
156.5	14.95335	15.30749	15.90476	17.07738	18.73643	20.98472	22.57506	23.87895	26.2988	28.32185
157.5	14.99326	15.34849	15.94764	17.12407	18.78878	21.04531	22.64192	23.95126	26.38197	28.41494
158.5	15.03336	15.38966	15.99063	17.17076	18.84098	21.10557	22.70835	24.02305	26.46453	28.50739
159.5	15.07365	15.43098	16.03372	17.21744	18.89302	21.1655	22.77434	24.09433	26.54648	28.59919
160.5	15.11411	15.47244	16.0769	17.26409	18.9449	21.22508	22.83987	24.16508	26.62782	28.69036
161.5	15.15473	15.51403	16.12014	17.31072	18.9966	21.28431	22.90494	24.23529	26.70853	28.78088
162.5	15.19549	15.55572	16.16345	17.35729	19.04811	21.34317	22.96954	24.30497	26.78862	28.87077
163.5	15.23639	15.59752	16.2068	17.40381	19.09942	21.40166	23.03366	24.37411	26.86808	28.96002
164.5	15.2774	15.63941	16.25018	17.45026	19.15052	21.45977	23.09731	24.44269	26.94692	29.04864
165.5	15.31852	15.68136	16.29358	17.49662	19.20139	21.51749	23.16045	24.51071	27.02513	29.13663
166.5	15.35972	15.72338	16.33699	17.54289	19.25204	21.5748	23.22311	24.57818	27.1027	29.22399
167.5	15.40101	15.76544	16.38039	17.58905	19.30243	21.63171	23.28525	24.64508	27.17965	29.31073
168.5	15.44235	15.80753	16.42378	17.63509	19.35257	21.68819	23.34689	24.71141	27.25597	29.39686
169.5	15.48374	15.84964	16.46712	17.68099	19.40245	21.74426	23.40801	24.77716	27.33167	29.48237
170.5	15.52517	15.89175	16.51042	17.72675	19.45204	21.79989	23.46861	24.84234	27.40673	29.56729
171.5	15.56661	15.93385	16.55366	17.77236	19.50136	21.85508	23.52868	24.90694	27.48118	29.6516
172.5	15.60805	15.97592	16.59682	17.81779	19.55037	21.90982	23.58823	24.97096	27.555	29.73533
173.5	15.64949	16.01795	16.63989	17.86304	19.59907	21.96411	23.64723	25.0344	27.6282	29.81848
174.5	15.69089	16.05992	16.68286	17.90809	19.64746	22.01794	23.7057	25.09725	27.70079	29.90107
175.5	15.73225	16.10183	16.72571	17.95294	19.69552	22.0713	23.76363	25.15951	27.77277	29.98309
176.5	15.77356	16.14364	16.76842	17.99756	19.74325	22.12419	23.82101	25.22119	27.84414	30.06456
177.5	15.81478	16.18536	16.81099	18.04195	19.79062	22.1766	23.87784	25.28228	27.91491	30.1455
178.5	15.85592	16.22696	16.8534	18.0861	19.83764	22.22852	23.93412	25.34279	27.98509	30.22591
179.5	15.89695	16.26842	16.89563	18.12998	19.88429	22.27996	23.98985	25.40271	28.05468	30.3058
180.5	15.93785	16.30974	16.93767	18.1736	19.93057	22.3309	24.04503	25.46204	28.12369	30.3852
181.5	15.97862	16.35089	16.97951	18.21693	19.97646	22.38135	24.09964	25.5208	28.19213	30.46411
182.5	16.01923	16.39185	17.02112	18.25996	20.02195	22.43128	24.1537	25.57897	28.26	30.54255
183.5	16.05966	16.43262	17.0625	18.30269	20.06704	22.48072	24.20721	25.63656	28.32732	30.62053
184.5	16.0999	16.47318	17.10363	18.3451	20.11172	22.52963	24.26015	25.69357	28.39408	30.69807
185.5	16.13993	16.51351	17.14448	18.38717	20.15598	22.57804	24.31254	25.75002	28.46031	30.77519
186.5	16.17973	16.55358	17.18506	18.42889	20.19981	22.62592	24.36437	25.80589	28.52602	30.8519
187.5	16.21929	16.5934	17.22534	18.47025	20.2432	22.67329	24.41564	25.8612	28.5912	30.92822
188.5	16.25859	16.63293	17.2653	18.51124	20.28614	22.72013	24.46636	25.91595	28.65588	31.00417
189.5	16.2976	16.67216	17.30494	18.55184	20.32862	22.76644	24.51653	25.97014	28.72007	31.07976
190.5	16.33631	16.71107	17.34423	18.59205	20.37064	22.81222	24.56614	26.02379	28.78378	31.15502
191.5	16.37471	16.74965	17.38316	18.63184	20.41219	22.85747	24.61521	26.07689	28.84702	31.22997
192.5	16.41277	16.78787	17.42171	18.67121	20.45326	22.90219	24.66372	26.12945	28.90981	31.30462
193.5	16.45047	16.82573	17.45986	18.71015	20.49383	22.94637	24.7117	26.18148	28.97215	31.379
194.5	16.4878	16.8632	17.49761	18.74863	20.53392	22.99002	24.75913	26.23299	29.03407	31.45314
195.5	16.52473	16.90025	17.53492	18.78665	20.57349	23.03313	24.80603	26.28399	29.09558	31.52704
196.5	16.56124	16.93689	17.5718	18.82419	20.61256	23.07571	24.8524	26.33448	29.1567	31.60075
197.5	16.59733	16.97308	17.60821	18.86125	20.65111	23.11774	24.89824	26.38446	29.21743	31.67427
198.5	16.63295	17.0088	17.64415	18.8978	20.68912	23.15924	24.94356	26.43396	29.27781	31.74764
199.5	16.66811	17.04404	17.67959	18.93384	20.72661	23.2002	24.98836	26.48298	29.33784	31.82088
200.5	16.70276	17.07879	17.71452	18.96935	20.76355	23.24062	25.03265	26.53153	29.39755	31.89401
201.5	16.7369	17.11301	17.74892	19.00432	20.79994	23.28051	25.07643	26.57962	29.45695	31.96706
202.5	16.77051	17.14669	17.78278	19.03874	20.83578	23.31986	25.11972	26.62726	29.51606	32.04007
203.5	16.80356	17.17981	17.81607	19.07258	20.87105	23.35867	25.16251	26.67447	29.57491	32.11305
204.5	16.83603	17.21234	17.84878	19.10585	20.90576	23.39696	25.20482	26.72125	29.6335	32.18603
205.5	16.8679	17.24429	17.88089	19.13852	20.93988	23.43471	25.24665	26.76761	29.69187	32.25905
206.5	16.89915	17.2756	17.91238	19.17059	20.97343	23.47193	25.28802	26.81358	29.75004	32.33212
207.5	16.92975	17.30628	17.94324	19.20204	21.00638	23.50863	25.32892	26.85915	29.80802	32.40529
208.5	16.95969	17.3363	17.97344	19.23285	21.03874	23.5448	25.36937	26.90436	29.86584	32.47859
209.5	16.98894	17.36564	18.00298	19.26301	21.07049	23.58045	25.40938	26.9492	29.92352	32.55204
210.5	17.01749	17.39427	18.03182	19.29252	21.10163	23.61558	25.44895	26.9937	29.98109	32.62567
211.5	17.0453	17.42218	18.05996	19.32135	21.13216	23.65019	25.4881	27.03787	30.03857	32.69952
212.5	17.07236	17.44935	18.08737	19.34949	21.16206	23.68429	25.52684	27.08173	30.09599	32.77362
213.5	17.09864	17.47576	18.11403	19.37693	21.19134	23.71788	25.56517	27.12528	30.15337	32.84802
214.5	17.12413	17.50137	18.13993	19.40366	21.21997	23.75097	25.60311	27.16856	30.21074	32.92272
215.5	17.14879	17.52618	18.16505	19.42965	21.24797	23.78356	25.64067	27.21157	30.26812	32.99779
216.5	17.1726	17.55015	18.18937	19.45491	21.27532	23.81564	25.67786	27.25433	30.32554	33.07324
217.5	17.19555	17.57328	18.21286	19.47941	21.30202	23.84724	25.7147	27.29686	30.38304	33.14912
218.5	17.2176	17.59553	18.23552	19.50314	21.32805	23.87835	25.75118	27.33918	30.44063	33.22546
219.5	17.23874	17.61689	18.25732	19.52608	21.35343	23.90898	25.78733	27.3813	30.49835	33.30231
220.5	17.25894	17.63733	18.27824	19.54823	21.37812	23.93912	25.82317	27.42325	30.55623	33.37969
221.5	17.27818	17.65683	18.29826	19.56957	21.40215	23.9688	25.85869	27.46505	30.6143	33.45766
222.5	17.29643	17.67537	18.31736	19.59008	21.42548	23.99801	25.89392	27.50671	30.6726	33.53624
223.5	17.31367	17.69293	18.33552	19.60975	21.44813	24.02676	25.92887	27.54826	30.73114	33.61548
224.5	17.32987	17.70948	18.35273	19.62857	21.47008	24.05505	25.96356	27.58971	30.78997	33.69542
225.5	17.34501	17.725	18.36896	19.64651	21.49134	24.08289	25.99799	27.63109	30.84911	33.77609
226.5	17.35907	17.73946	18.38419	19.66358	21.51188	24.11029	26.03219	27.67242	30.90861	33.85756
227.5	17.37203	17.75286	18.39841	19.67975	21.53171	24.13725	26.06617	27.71372	30.96849	33.93984
228.5	17.38385	17.76515	18.41159	19.695	21.55082	24.16378	26.09993	27.75502	31.0288	34.023
229.5	17.39451	17.77632	18.42371	19.70933	21.56921	24.18988	26.13351	27.79633	31.08956	34.10707
230.5	17.40399	17.78635	18.43475	19.72272	21.58686	24.21557	26.16692	27.83769	31.15082	34.1921
231.5	17.41226	17.79521	18.4447	19.73516	21.60378	24.24084	26.20016	27.8791	31.21261	34.27814
232.5	17.4193	17.80288	18.45352	19.74662	21.61996	24.26571	26.23326	27.92061	31.27496	34.36522
233.5	17.42508	17.80934	18.46121	19.7571	21.63539	24.29019	26.26624	27.96223	31.33793	34.45341
234.5	17.42958	17.81456	18.46773	19.76658	21.65006	24.31427	26.29911	28.00399	31.40154	34.54273
235.5	17.43278	17.81852	18.47308	19.77505	21.66397	24.33798	26.33189	28.04591	31.46583	34.63326
236.5	17.43465	17.82119	18.47722	19.78248	21.67712	24.3613	26.36459	28.08801	31.53085	34.72503
237.5	17.43515	17.82256	18.48014	19.78887	21.68949	24.38426	26.39723	28.13034	31.59664	34.8181
238.5	17.43427	17.82259	18.48182	19.7942	21.70108	24.40686	26.42984	28.17291	31.66324	34.9125
239.5	17.43199	17.82127	18.48223	19.79846	21.71189	24.4291	26.46243	28.21574	31.73069	35.00831
240	17.43031	17.82009	18.48196	19.80018	21.717	24.4401	26.47872	28.23727	31.76474	35.05675
240.5	17.42827	17.81856	18.48136	19.80162	21.72191	24.45101	26.49502	28.25888	31.79903	35.10556
