Age (in months)	3rd Percentile BMI Value	5th Percentile BMI Value	10th Percentile BMI Value	25th Percentile BMI Value	50th Percentile BMI Value	75th Percentile BMI Value	85th Percentile BMI Value	90th Percentile BMI Value	95th Percentile BMI Value	97th Percentile BMI Value
95.5	13.57793	13.78603	14.13462	14.81136	15.75513	17.01727	17.90429	18.63115	19.98668	21.13459
96.5	13.58604	13.79575	14.14712	14.82965	15.78231	17.05799	17.95575	18.69225	20.06793	21.23532
97.5	13.59477	13.8061	14.1603	14.84867	15.81029	17.09955	18.00807	18.75418	20.1499	21.33665
98.5	13.60411	13.8171	14.17416	14.86841	15.83905	17.14193	18.0612	18.8169	20.23256	21.43852
99.5	13.61408	13.82873	14.18868	14.88888	15.86858	17.18512	18.11512	18.88038	20.31587	21.54088
100.5	13.62467	13.84101	14.20387	14.91006	15.89888	17.22909	18.16981	18.94459	20.39979	21.64368
101.5	13.63588	13.85392	14.21972	14.93194	15.92992	17.27383	18.22525	19.00952	20.48429	21.74689
102.5	13.64771	13.86747	14.23624	14.95453	15.96169	17.31932	18.28141	19.07512	20.56933	21.85044
103.5	13.66017	13.88166	14.25341	14.9778	15.99419	17.36552	18.33827	19.14137	20.65487	21.9543
104.5	13.67325	13.89648	14.27124	15.00176	16.02741	17.41244	18.3958	19.20825	20.74089	22.05842
105.5	13.68696	13.91194	14.28972	15.0264	16.06132	17.46005	18.45398	19.27573	20.82733	22.16276
106.5	13.70129	13.92804	14.30884	15.05172	16.09591	17.50833	18.5128	19.34378	20.91417	22.26727
107.5	13.71624	13.94476	14.32862	15.07769	16.13119	17.55726	18.57222	19.41238	21.00138	22.37192
108.5	13.73182	13.96212	14.34903	15.10433	16.16712	17.60683	18.63222	19.48149	21.08893	22.47666
109.5	13.74801	13.9801	14.37008	15.13161	16.20371	17.65702	18.69279	19.5511	21.17677	22.58145
110.5	13.76483	13.99871	14.39177	15.15954	16.24094	17.7078	18.7539	19.62118	21.26488	22.68625
111.5	13.78227	14.01795	14.41409	15.1881	16.2788	17.75918	18.81554	19.69171	21.35323	22.79103
112.5	13.80033	14.0378	14.43703	15.2173	16.31728	17.81112	18.87767	19.76266	21.44178	22.89575
113.5	13.819	14.05828	14.46059	15.24712	16.35637	17.86361	18.94028	19.83401	21.53051	23.00036
114.5	13.83828	14.07937	14.48478	15.27755	16.39606	17.91664	19.00336	19.90573	21.61938	23.10484
115.5	13.85818	14.10107	14.50957	15.30859	16.43633	17.9702	19.06688	19.97781	21.70837	23.20915
116.5	13.87868	14.12338	14.53498	15.34024	16.47718	18.02425	19.13081	20.05021	21.79745	23.31326
117.5	13.89979	14.1463	14.56099	15.37248	16.5186	18.07879	19.19516	20.12292	21.88659	23.41712
118.5	13.92151	14.16982	14.5876	15.40531	16.56057	18.13381	19.25988	20.19592	21.97576	23.52071
119.5	13.94382	14.19394	14.61481	15.43872	16.60309	18.18929	19.32497	20.26919	22.06494	23.624
120.5	13.96673	14.21866	14.6426	15.4727	16.64614	18.24521	19.39041	20.3427	22.15409	23.72696
121.5	13.99024	14.24396	14.67098	15.50725	16.68972	18.30156	19.45618	20.41643	22.2432	23.82955
122.5	14.01433	14.26985	14.69994	15.54236	16.73381	18.35833	19.52226	20.49036	22.33224	23.93175
123.5	14.03901	14.29633	14.72948	15.57803	16.7784	18.4155	19.58864	20.56448	22.42118	24.03353
124.5	14.06427	14.32338	14.75958	15.61424	16.8235	18.47306	19.6553	20.63877	22.51	24.13486
125.5	14.09011	14.35101	14.79025	15.65099	16.86907	18.53099	19.72222	20.7132	22.59868	24.23571
126.5	14.11653	14.3792	14.82148	15.68826	16.91512	18.58928	19.78938	20.78775	22.68719	24.33606
127.5	14.14351	14.40796	14.85326	15.72607	16.96164	18.64792	19.85678	20.86242	22.77551	24.43589
128.5	14.17106	14.43727	14.88558	15.76439	17.00862	18.70689	19.92439	20.93718	22.86363	24.53516
129.5	14.19916	14.46714	14.91845	15.80322	17.05604	18.76619	19.9922	21.01201	22.95151	24.63386
130.5	14.22782	14.49756	14.95184	15.84255	17.1039	18.82579	20.06019	21.0869	23.03915	24.73197
131.5	14.25703	14.52852	14.98577	15.88237	17.15218	18.8857	20.12835	21.16183	23.12651	24.82945
132.5	14.28678	14.56001	15.02022	15.92268	17.20089	18.94588	20.19667	21.23679	23.21358	24.9263
133.5	14.31707	14.59203	15.05519	15.96347	17.25	19.00634	20.26514	21.31175	23.30035	25.02249
134.5	14.34789	14.62458	15.09066	16.00473	17.29951	19.06706	20.33373	21.38671	23.38679	25.11801
135.5	14.37924	14.65765	15.12664	16.04646	17.34942	19.12803	20.40243	21.46165	23.47289	25.21283
136.5	14.41111	14.69122	15.16311	16.08864	17.3997	19.18924	20.47124	21.53655	23.55863	25.30693
137.5	14.44349	14.72531	15.20007	16.13127	17.45036	19.25067	20.54013	21.61141	23.644	25.40031
138.5	14.47638	14.75989	15.23751	16.17434	17.50138	19.31232	20.6091	21.6862	23.72897	25.49294
139.5	14.50977	14.79496	15.27543	16.21784	17.55276	19.37417	20.67814	21.76091	23.81354	25.58481
140.5	14.54365	14.83052	15.31381	16.26177	17.60448	19.43622	20.74722	21.83554	23.89769	25.67591
141.5	14.57802	14.86655	15.35265	16.30612	17.65653	19.49845	20.81635	21.91006	23.98141	25.76623
142.5	14.61287	14.90306	15.39195	16.35087	17.70892	19.56086	20.88551	21.98447	24.06469	25.85575
143.5	14.64819	14.94002	15.43169	16.39603	17.76162	19.62342	20.95468	22.05876	24.1475	25.94446
144.5	14.68398	14.97745	15.47187	16.44158	17.81463	19.68614	21.02386	22.1329	24.22985	26.03234
145.5	14.72022	15.01532	15.51248	16.48751	17.86795	19.74901	21.09304	22.2069	24.31172	26.11941
146.5	14.75692	15.05363	15.5535	16.53382	17.92155	19.812	21.1622	22.28075	24.3931	26.20563
147.5	14.79406	15.09238	15.59495	16.5805	17.97544	19.87512	21.23134	22.35442	24.47397	26.29101
148.5	14.83163	15.13155	15.6368	16.62754	18.02961	19.93836	21.30045	22.42791	24.55434	26.37553
149.5	14.86963	15.17113	15.67904	16.67494	18.08404	20.0017	21.36951	22.50122	24.6342	26.4592
150.5	14.90804	15.21113	15.72168	16.72267	18.13873	20.06514	21.43852	22.57433	24.71352	26.54201
151.5	14.94687	15.25152	15.7647	16.77074	18.19367	20.12866	21.50748	22.64724	24.79232	26.62395
152.5	14.98609	15.2923	15.80809	16.81914	18.24884	20.19227	21.57636	22.71993	24.87058	26.70501
153.5	15.02571	15.33347	15.85184	16.86786	18.30426	20.25594	21.64517	22.7924	24.94829	26.78521
154.5	15.06571	15.37501	15.89595	16.91689	18.35989	20.31968	21.71389	22.86465	25.02545	26.86453
155.5	15.10609	15.41692	15.94041	16.96621	18.41574	20.38347	21.78252	22.93666	25.10206	26.94297
156.5	15.14683	15.45918	15.9852	17.01583	18.4718	20.44731	21.85104	23.00842	25.17811	27.02054
157.5	15.18793	15.50179	16.03032	17.06574	18.52805	20.51119	21.91946	23.07994	25.2536	27.09724
158.5	15.22938	15.54474	16.07576	17.11592	18.5845	20.5751	21.98777	23.15121	25.32853	27.17307
159.5	15.27116	15.58801	16.12151	17.16636	18.64113	20.63903	22.05596	23.22221	25.40289	27.24802
160.5	15.31327	15.63161	16.16756	17.21706	18.69793	20.70298	22.12402	23.29295	25.47668	27.32211
161.5	15.3557	15.67551	16.21391	17.26801	18.75489	20.76694	22.19194	23.36342	25.5499	27.39534
162.5	15.39843	15.71971	16.26054	17.3192	18.81202	20.8309	22.25973	23.43362	25.62256	27.46771
163.5	15.44147	15.7642	16.30743	17.37062	18.86929	20.89486	22.32737	23.50354	25.69464	27.53924
164.5	15.48479	15.80897	16.3546	17.42227	18.9267	20.9588	22.39487	23.57318	25.76616	27.60992
165.5	15.52839	15.85401	16.40201	17.47412	18.98424	21.02272	22.46221	23.64253	25.83712	27.67977
166.5	15.57226	15.89931	16.44967	17.52618	19.04191	21.08663	22.52939	23.7116	25.90751	27.74879
167.5	15.61638	15.94486	16.49756	17.57843	19.0997	21.15049	22.5964	23.78038	25.97734	27.817
168.5	15.66076	15.99065	16.54568	17.63086	19.15759	21.21433	22.66325	23.84887	26.04662	27.88441
169.5	15.70536	16.03667	16.594	17.68347	19.21558	21.27811	22.72993	23.91706	26.11535	27.95102
170.5	15.75019	16.0829	16.64254	17.73624	19.27366	21.34185	22.79643	23.98496	26.18353	28.01686
171.5	15.79524	16.12934	16.69126	17.78917	19.33182	21.40554	22.86275	24.05257	26.25117	28.08193
172.5	15.84049	16.17598	16.74017	17.84225	19.39006	21.46916	22.92889	24.11987	26.31828	28.14624
173.5	15.88593	16.2228	16.78924	17.89546	19.44837	21.53272	22.99485	24.18689	26.38485	28.20983
174.5	15.93155	16.2698	16.83848	17.9488	19.50673	21.5962	23.06062	24.25361	26.45091	28.27269
175.5	15.97734	16.31696	16.88787	18.00225	19.56514	21.65961	23.12619	24.32003	26.51646	28.33484
176.5	16.02329	16.36427	16.9374	18.05581	19.6236	21.72294	23.19158	24.38616	26.58151	28.39632
177.5	16.06939	16.41172	16.98706	18.10947	19.68208	21.78618	23.25677	24.452	26.64606	28.45712
178.5	16.11562	16.4593	17.03683	18.16322	19.7406	21.84932	23.32177	24.51755	26.71014	28.51728
179.5	16.16198	16.507	17.08672	18.21704	19.79912	21.91237	23.38657	24.58281	26.77374	28.57682
180.5	16.20844	16.55481	17.1367	18.27093	19.85766	21.97532	23.45117	24.64778	26.83688	28.63575
181.5	16.25501	16.60271	17.18676	18.32488	19.9162	22.03816	23.51557	24.71247	26.89958	28.6941
182.5	16.30166	16.6507	17.23689	18.37887	19.97473	22.10089	23.57978	24.77688	26.96184	28.75189
183.5	16.34839	16.69875	17.28709	18.4329	20.03324	22.1635	23.64378	24.84102	27.02368	28.80915
184.5	16.39519	16.74687	17.33734	18.48696	20.09172	22.226	23.70758	24.90489	27.08511	28.8659
185.5	16.44203	16.79503	17.38763	18.54102	20.15017	22.28837	23.77119	24.96848	27.14616	28.92217
186.5	16.48892	16.84323	17.43794	18.5951	20.20858	22.35061	23.83459	25.03182	27.20683	28.97798
187.5	16.53583	16.89146	17.48827	18.64916	20.26694	22.41272	23.89779	25.0949	27.26714	29.03337
188.5	16.58276	16.93969	17.53861	18.70321	20.32524	22.47469	23.9608	25.15773	27.3271	29.08835
189.5	16.62969	16.98792	17.58893	18.75723	20.38346	22.53652	24.02361	25.22032	27.38675	29.14297
190.5	16.67661	17.03615	17.63924	18.81121	20.44162	22.59821	24.08622	25.28267	27.44609	29.19725
191.5	16.72351	17.08434	17.68951	18.86514	20.49968	22.65976	24.14864	25.34478	27.50514	29.25123
192.5	16.77038	17.1325	17.73974	18.919	20.55765	22.72115	24.21087	25.40668	27.56393	29.30493
193.5	16.8172	17.18061	17.78991	18.97279	20.61551	22.78239	24.27291	25.46835	27.62247	29.35838
194.5	16.86396	17.22865	17.84001	19.0265	20.67326	22.84346	24.33476	25.52982	27.68078	29.41164
195.5	16.91065	17.27662	17.89003	19.08011	20.73089	22.90438	24.39642	25.59109	27.7389	29.46472
196.5	16.95725	17.3245	17.93995	19.13361	20.78839	22.96514	24.4579	25.65217	27.79683	29.51767
197.5	17.00375	17.37229	17.98977	19.187	20.84574	23.02572	24.5192	25.71306	27.85461	29.57051
198.5	17.05015	17.41995	18.03947	19.24025	20.90294	23.08614	24.58033	25.77379	27.91225	29.6233
199.5	17.09642	17.46749	18.08904	19.29335	20.95999	23.14638	24.64128	25.83436	27.96979	29.67606
200.5	17.14256	17.51489	18.13846	19.3463	21.01686	23.20645	24.70207	25.89477	28.02724	29.72885
201.5	17.18854	17.56214	18.18773	19.39908	21.07356	23.26633	24.76269	25.95504	28.08464	29.78169
202.5	17.23437	17.60923	18.23682	19.45168	21.13007	23.32604	24.82315	26.01519	28.142	29.83463
203.5	17.28002	17.65613	18.28573	19.50409	21.18638	23.38556	24.88346	26.07522	28.19937	29.88771
204.5	17.32548	17.70284	18.33444	19.55629	21.24248	23.4449	24.94362	26.13515	28.25676	29.94097
205.5	17.37074	17.74935	18.38294	19.60827	21.29836	23.50404	25.00363	26.19498	28.3142	29.99447
206.5	17.41579	17.79564	18.43121	19.66002	21.35402	23.563	25.0635	26.25474	28.37173	30.04824
207.5	17.46061	17.8417	18.47925	19.71153	21.40944	23.62176	25.12324	26.31443	28.42937	30.10232
208.5	17.50518	17.88751	18.52703	19.76278	21.46461	23.68033	25.18286	26.37407	28.48716	30.15677
209.5	17.54951	17.93306	18.57455	19.81376	21.51952	23.7387	25.24235	26.43368	28.54513	30.21164
210.5	17.59356	17.97834	18.62179	19.86445	21.57417	23.79687	25.30173	26.49326	28.6033	30.26696
211.5	17.63734	18.02333	18.66873	19.91485	21.62854	23.85484	25.361	26.55284	28.66171	30.3228
212.5	17.68082	18.06802	18.71537	19.96493	21.68262	23.91261	25.42017	26.61243	28.72041	30.3792
213.5	17.72399	18.11239	18.76168	20.01469	21.7364	23.97018	25.47925	26.67204	28.77941	30.4362
214.5	17.76683	18.15644	18.80766	20.06412	21.78988	24.02754	25.53824	26.73169	28.83875	30.49387
215.5	17.80934	18.20014	18.85328	20.11319	21.84304	24.0847	25.59716	26.79141	28.89848	30.55225
216.5	17.8515	18.24349	18.89854	20.1619	21.89587	24.14166	25.65601	26.8512	28.95862	30.6114
217.5	17.89329	18.28646	18.94342	20.21022	21.94836	24.19841	25.71481	26.91109	29.01921	30.67137
218.5	17.93471	18.32904	18.98791	20.25816	22.00051	24.25495	25.77355	26.97108	29.0803	30.73222
219.5	17.97573	18.37122	19.03198	20.30569	22.05229	24.31129	25.83225	27.03121	29.14191	30.794
220.5	18.01634	18.41299	19.07563	20.35279	22.10371	24.36742	25.89093	27.09149	29.20409	30.85677
221.5	18.05652	18.45432	19.11884	20.39947	22.15476	24.42335	25.94958	27.15194	29.26687	30.92058
222.5	18.09626	18.4952	19.16159	20.44569	22.20541	24.47907	26.00823	27.21259	29.3303	30.9855
223.5	18.13555	18.53562	19.20387	20.49145	22.25567	24.53459	26.06687	27.27344	29.39442	31.05158
224.5	18.17437	18.57556	19.24567	20.53674	22.30553	24.58991	26.12553	27.33452	29.45926	31.11888
225.5	18.2127	18.615	19.28696	20.58153	22.35497	24.64502	26.18422	27.39585	29.52487	31.18746
226.5	18.25052	18.65393	19.32773	20.62582	22.40399	24.69994	26.24294	27.45746	29.5913	31.25739
227.5	18.28782	18.69233	19.36797	20.66959	22.45257	24.75466	26.30171	27.51936	29.65857	31.32872
228.5	18.32459	18.73019	19.40766	20.71283	22.50072	24.80919	26.36054	27.58159	29.72674	31.40152
229.5	18.3608	18.76748	19.44678	20.75552	22.54841	24.86352	26.41945	27.64415	29.79585	31.47585
230.5	18.39643	18.8042	19.48531	20.79766	22.59565	24.91767	26.47844	27.70707	29.86595	31.55178
231.5	18.43148	18.84031	19.52325	20.83922	22.64243	24.97163	26.53753	27.77039	29.93707	31.62937
232.5	18.46591	18.87581	19.56057	20.88019	22.68873	25.02542	26.59675	27.83411	30.00927	31.70868
233.5	18.49972	18.91068	19.59726	20.92056	22.73456	25.07902	26.65609	27.89828	30.08258	31.78979
234.5	18.53287	18.94489	19.6333	20.96032	22.7799	25.13246	26.71558	27.9629	30.15706	31.87275
235.5	18.56536	18.97844	19.66867	20.99946	22.82474	25.18572	26.77522	28.02801	30.23276	31.95764
236.5	18.59716	19.01129	19.70335	21.03795	22.86909	25.23883	26.83505	28.09363	30.30971	32.04453
237.5	18.62825	19.04343	19.73733	21.07579	22.91293	25.29179	26.89507	28.15978	30.38797	32.13348
238.5	18.65861	19.07484	19.7706	21.11296	22.95626	25.34459	26.9553	28.2265	30.46758	32.22457
239.5	18.68822	19.10551	19.80312	21.14946	22.99908	25.39725	27.01575	28.29381	30.54859	32.31787
240	18.70274	19.12055	19.8191	21.16745	23.02029	25.42353	27.04607	28.3277	30.58964	32.36537
240.5	18.71706	19.1354	19.83489	21.18526	23.04138	25.44978	27.07645	28.36174	30.63106	32.41344
